alpha,g_Leak,vSTMD_AUC,vSTMD_F_AUC,vSTMD_AAE,vSTMD_F_AAE
0.41340166166561865,0.1467865891682833,0.3335516524711774,0.5867825176545542,0.5338703290954006,0.4145918414160835
0.46390585782340177,0.372544576825067,0.4064343500270198,0.6223302316380942,0.6249696051392689,0.5771178321806569
0.18665568092360305,0.37122578007858925,0.5050293640263903,0.5834085947244854,0.8200835731192414,0.5860424484173192
0.505578768767457,0.2498150664841409,0.3849850725062753,0.6198689372690034,0.5224424323441778,0.42209834254724743
0.31314819035870617,0.369889764296401,0.4801179823593569,0.6118292949159155,0.7175037030197181,0.5703306094713245
0.45360548306475285,0.2845621105119252,0.4151563160389007,0.6165625813833894,0.5431254241814318,0.44818611708035677
0.540768921666094,0.347788081479027,0.36886250026991685,0.623256519403788,0.5743312810380616,0.5361996877347047
0.4816917454591103,0.32040363934904,0.40330753337960273,0.6210777128196862,0.5713734777469363,0.49330614335153405
0.25970009709548597,0.3754283660792309,0.4963565225602668,0.6042090604396045,0.7719562450100584,0.5807828268844843
0.4092861119935924,0.37912285630119663,0.43737634882315346,0.6207998726697632,0.660162610134929,0.581646257002054
0.0937830169748547,0.22613042077688067,0.39293186578406125,0.4945959556490018,0.6838009750934652,0.4719335649243994
0.44337605387671153,0.3776610650572296,0.41779729325608134,0.6214033156902106,0.6413656284222733,0.5825403981321504
0.37047619335126786,0.29110433220055165,0.4421608695628081,0.6084741043050762,0.5747807178557384,0.45198795450843726
0.29392371807389256,0.37312639833789707,0.4855292743669508,0.6088509701115276,0.7425982136859103,0.575114791856951
0.5122107225422129,0.3113966400913882,0.3884448966073058,0.622636846339797,0.5530685887548621,0.48099216882597556
0.3379081486544098,0.29161000853271596,0.44877090031802386,0.603065779810697,0.5845189596871634,0.45528964179464393
0.3596402650146973,0.37830579838273587,0.4631079599057687,0.6175317283807723,0.7014453020362265,0.5817520442632942
0.46650358950444687,0.17633694687393786,0.35536932887040323,0.6026894052822316,0.5224405284720686,0.40136184095336125
0.4676161914134487,0.33785076675695247,0.4085344676907332,0.6209845954734338,0.5858596890734697,0.518281941820781
0.4761929726904623,0.35758927863714135,0.40172884610664894,0.6229470722848012,0.6049277833154579,0.5503367636160019
0.5302444931003194,0.3088459184773915,0.37982750036556573,0.6228886036216688,0.5438786977383643,0.47941503555511483
0.44112242262792123,0.1671524312302454,0.35133844383730783,0.5979322764949971,0.5215995868799695,0.4038783914789049
0.16819152184649472,0.37194193560260275,0.5047746180916501,0.5772061123995671,0.8409424640956417,0.5920114122166268
0.3288495700745251,0.3752234866448832,0.4766320546150964,0.6137207728542432,0.716804560589644,0.576769201445253
0.20116266821641396,0.37407380954108577,0.5045602734716117,0.5886950989175364,0.8125932121519983,0.5888792327790737
0.4226652569807595,0.30551214414256994,0.4297956535295455,0.6159429981403346,0.567217430319991,0.4698200612115465
0.4663528069053742,0.3179128140190817,0.41058392582333086,0.6194525494236466,0.5695081922460246,0.49122161448496265
0.5055928961971897,0.23323004057101132,0.37872156268397966,0.6186324914756078,0.5194263617082701,0.4108613882763834
